win,year,song,artist,genre_category,genre,genre_count_old,genre_Count_from2005,inverse_score,number_of_weeks,old_popularity,artist_rank,lastfm,lastfm_rank,youtube,youtube_rank,new_total_count,rankby_total_count,groupby_10
0,1964,The House Of The Rising Sun,The Animals,6,Rock,3655,1990,963,11,863,182,4600463,19,194167598,1,198768061,1,1
0,1965,The Sound Of Silence,Simon & Garfunkel,5,Pop,1235,13616,1092,14,513,144,7006004,2,162078354,2,169084358,2,1
0,1966,California Dreamin',The Mamas & The Papas,5,Pop,1235,13616,1265,17,195,125,3842033,30,161074487,3,164916520,3,1
0,1961,Stand By Me,Ben E. King,9,Urban,1891,19436,1061,14,591,83,2744255,58,140751879,4,143496134,4,1
0,1966,These Boots Are Made For Walkin',Nancy Sinatra,6,Rock,3655,1990,1157,14,364,96,803381,220,111380905,5,112184286,5,1
0,1968,Hey Jude,The Beatles,6,Rock,3655,1990,1770,19,14,2,5506995,14,89662830,9,95169825,6,1
0,1960,I Need You Now,100 Strings and Jono (Choir of 40 Voices),6,Rock,3655,1990,3,1,8214,2188,0,8277,93305268,7,93305268,7,1
0,1965,4 - By The Beatles,The Beatles,6,Rock,3655,1990,136,5,5478,2,1,8193,89668570,8,89668571,8,1
0,1966,"Paint It, Black",The Rolling Stones,5,Pop,1235,13616,963,11,862,47,6971647,3,80157251,12,87128898,9,1
0,1967,A Whiter Shade Of Pale,Procol Harum,6,Rock,3655,1990,977,12,824,857,1674118,109,83706857,10,85380975,10,1
1,1961,Let's Twist Again,Chubby Checker,6,Rock,3655,1990,1504,23,52,27,547943,318,82272898,11,82820841,11,1
0,1968,All Along The Watchtower,The Jimi Hendrix Experience,6,Rock,3655,1990,622,9,2095,458,2076396,86,78159224,13,80235620,12,1
0,1967,Hello Goodbye,The Beatles,6,Rock,3655,1990,997,11,745,2,3566502,39,62901149,15,66467651,13,1
0,1968,I Say A Little Prayer,Aretha Franklin,9,Urban,1891,19436,830,11,1311,13,1844572,98,64028822,14,65873394,14,1
0,1970,In The Summertime,Mungo Jerry,6,Rock,3655,1990,1027,13,672,2064,930083,190,61518395,16,62448478,15,1
