,song,artist,sum,count,old_popularity,lastfm_count,new_popularity,genre
0,Harlem Nocturne,The Viscounts,62252,29,1,20656.0,2336,Pop
1,Never On Sunday,Don Costa And His Orchestra And Chorus,56062,26,2,32.0,7674,Pop
2,Robbin' The Cradle,Tony Bellus,53176,26,3,2137.0,4727,Pop
3,Moon River,Henry Mancini And His Orchestra,52194,26,4,380162.0,421,Pop
4,The Little Drummer Boy,The Harry Simeone Chorale,52096,28,5,3138.0,4309,Pop
5,Tall Cool One,The Wailers,50508,23,6,13270.0,2786,Rock
6,Solitary Man,Neil Diamond,50414,24,7,270472.0,540,Pop
7,Sunshine Of Your Love,Cream,49008,26,8,3592289.0,36,Rock
8,But It's Alright,J.J. Jackson,48434,23,9,57245.0,1430,Urban
9,Wipe Out,The Surfaris,47806,30,10,290333.0,504,Rock
10,Finger Poppin' Time,Hank Ballard And The Midnighters,46794,26,11,1080.0,5403,Jazz
11,Yellow River,Christie,46384,23,12,218665.0,615,Rock
12,I Left My Heart In San Francisco,Tony Bennett,45074,21,13,274190.0,533,Pop
13,It's Getting Better,Mama Cass,43830,19,14,94752.0,1076,Pop
14,I Want To Take You Higher,Ike & Tina Turner & The Ikettes,43076,18,15,54985.0,1474,Urban
15,Let's Twist Again,Chubby Checker,42448,23,16,547943.0,318,Rock
16,Just As Much As Ever,Bob Beckham,41662,21,17,232.0,6696,Alternative & Punk
17,Days Of Wine And Roses,Henry Mancini And His Orchestra,41636,18,18,42190.0,1681,Pop
18,Chantilly Lace,Big Bopper,41156,25,19,236605.0,582,Rock
19,Dreamy Eyes,Johnny Tillotson,41076,23,20,6289.0,3605,Rock
20,Lonely Weekends,Charlie Rich,40758,21,21,37656.0,1773,Traditional
21,You're So Fine,The Falcons,39824,20,22,12945.0,2811,Rock
22,Fannie Mae,Buster Brown,39338,17,23,13330.0,2779,Jazz
23,"Summertime, Summertime",The Jamies,39256,19,24,7141.0,3479,Electronica
24,I Fall To Pieces,Patsy Cline,38620,20,25,418988.0,392,Traditional
25,The Wonder Of You,Ray Peterson,38612,19,26,9924.0,3135,Rock
26,I'll Never Fall In Love Again,Tom Jones,38566,23,27,50850.0,1545,Pop
27,Am I That Easy To Forget,Debbie Reynolds,38374,17,28,1142.0,5357,Soundtrack
28,Get Together,The Youngbloods,38372,25,29,372939.0,429,Rock
29,As The Years Go By,Mashmakhan,38330,18,30,9221.0,3221,Rock
30,Mountain Of Love,Harold Dorman,37908,19,31,4580.0,3922,Rock
31,Love Potion No. 9,The Clovers,37622,17,32,109835.0,987,Jazz
32,Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,37570,19,33,434.0,6216,Pop
33,Nobody But You,Dee Clark,37568,17,34,14421.0,2699,Urban
34,First Name Initial,Annette With The Afterbeats,37496,18,35,34.0,7656,Other
35,High Hopes,Frank Sinatra and a bunch of kids,37418,17,36,8.0,7997,Pop
36,Love Land,Charles Wright And The Watts 103rd Street Rhythm Band,37320,17,37,308.0,6476,Urban
37,You Got What It Takes,Marv Johnson,37286,22,38,34854.0,1844,Urban
38,Mona Lisa,Carl Mann,37238,16,39,46712.0,1601,Rock
39,Win Your Love For Me,Sam Cooke,37208,17,40,184472.0,702,Urban
40,Going In Circles,The Friends Of Distinction,37190,20,41,41251.0,1706,Urban
41,What's Easy For Two Is So Hard For One,Mary Wells,37096,17,42,6652.0,3541,Rock
42,In-A-Gadda-Da-Vida,Iron Butterfly,36944,17,43,760671.0,241,Rock
43,"Please Help Me, I'm Falling",Hank Locklin,36852,22,44,44353.0,1644,Traditional
44,Makin' Love,Floyd Robinson,36802,18,45,3016.0,4356,Pop
45,Sixteen Reasons,Connie Stevens,36742,24,46,54023.0,1487,Pop
46,The Twist,Chubby Checker,36734,39,47,528349.0,330,Rock
47,Cast Your Fate To The Wind,Vince Guaraldi Trio,36540,18,48,74314.0,1224,Jazz
48,Town Without Pity,Gene Pitney,36466,19,49,122002.0,919,Rock
49,For The Good Times,Ray Price,36298,18,50,72701.0,1242,Traditional
50,Hideaway,The Four Esquires,35890,17,51,137.0,7007,Rock
51,Ooh Poo Pah Doo - Part II,Jessie Hill,35878,16,52,44.0,7552,Urban
52,Anymore,Teresa Brewer,35718,16,53,276.0,6577,Pop
53,Money (That's what I want),Barrett Strong,35712,17,54,356945.0,437,Urban
54,Poor Boy,The Royaltones,35474,17,55,3078.0,4330,Rock
55,Better Tell Him No,The Starlets,35340,16,56,936.0,5554,Rock
56,I Cried A Tear,LaVern Baker,35228,21,57,18681.0,2445,Urban
57,I Want To Take You Higher,Sly & The Family Stone,35228,16,58,378067.0,424,Urban
58,One Tin Soldier,The Original Caste,35208,17,59,11524.0,2971,Pop
59,Ten Commandments Of Love,Harvey & The Moonglows,35124,16,60,14356.0,2705,Rock
60,All I Could Do Was Cry,Etta James,35056,15,61,195966.0,671,Urban
61,Sweet Nothin's,Brenda Lee,35014,24,62,100786.0,1044,Traditional
62,What A Diff'rence A Day Makes,Dinah Washington,34838,20,63,36553.0,1806,Jazz
63,There Goes My Heart,Joni James,34756,16,64,29351.0,1999,Pop
64,A Lover's Question,Clyde McPhatter,34730,24,65,56619.0,1440,Urban
65,Hurt So Bad,The Lettermen,34624,21,66,11577.0,2965,Rock
66,Baby Elephant Walk,Lawrence Welk And His Orchestra,34570,16,67,124.0,7069,Pop
67,Believe Me,Royal Teens,34414,15,68,931.0,5564,Rock
68,Mary Lou,Ronnie Hawkins and The Hawks,34390,16,69,1170.0,5330,Rock
69,Just Out Of Reach (Of My Two Open Arms),Solomon Burke,34334,17,70,9919.0,3140,Urban
70,Running Bear,Johnny Preston,34304,27,71,78453.0,1191,Rock
71,Love You Most Of All,Sam Cooke,34242,16,72,46171.0,1611,Urban
72,Jennifer Tomkins,Street People,34228,15,73,1874.0,4855,Pop
73,The Twist,Hank Ballard And The Midnighters,34190,16,74,1127.0,5372,Jazz
74,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,33932,20,75,2079.0,4765,Pop
75,Come Saturday Morning,The Sandpipers,33860,20,76,9124.0,3234,Rock
76,Moon River,Jerry Butler,33842,17,77,21268.0,2308,Urban
77,(All of a Sudden) My Heart Sings,Paul Anka,33828,17,78,4642.0,3911,Pop
78,Primrose Lane,Jerry Wallace With The Jewels,33628,21,79,60.0,7450,Traditional
79,Missing You,Ray Peterson,33628,15,80,2838.0,4419,Rock
80,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,33554,15,81,307.0,6481,Other
81,A Taste Of Honey,Martin Denny and His Orchestra,33500,15,82,38.0,7610,Pop
82,Lucky Devil,"Carl Dobkins, Jr.",33334,17,83,555.0,6016,Rock
83,Almost Persuaded,David Houston,33320,15,84,40130.0,1722,Traditional
84,Mississippi Queen,Mountain,33298,17,85,788166.0,226,Rock
85,Surfin' Safari,The Beach Boys,33226,17,86,631655.0,287,Rock
86,Danny Boy,Conway Twitty,33212,18,87,10242.0,3092,Traditional
87,Born Free,Roger Williams,33184,21,88,17815.0,2491,Traditional
88,Any Way That You Want Me,Evie Sands,33106,17,89,4023.0,4046,Rock
89,Doggin' Around,Jackie Wilson,33090,16,90,35791.0,1828,Urban
90,Hitchin' A Ride,Vanity Fare,33072,22,91,82648.0,1159,Rock
91,"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus",33008,22,92,898.0,5602,Pop
92,No One Knows,Dion & The Belmonts,32986,16,93,30158.0,1977,Rock
93,It's Gonna Work Out Fine,Ike & Tina Turner,32984,15,94,45873.0,1617,Urban
94,Hang 'Em High,Booker T. & The MG's,32888,18,95,60950.0,1384,Urban
95,La Bamba,Ritchie Valens,32878,15,96,669816.0,264,Rock
96,Once In Awhile,The Chimes,32864,18,97,9769.0,3157,Pop
97,Wings Of A Dove,Ferlin Husky,32786,18,98,47031.0,1594,Traditional
98,Soul Serenade,Willie Mitchell,32754,15,99,6236.0,3614,Urban
99,Jingle Bell Rock,Bobby Helms,32746,15,100,1021093.0,177,Traditional
100,Knock On Wood,Eddie Floyd,32596,17,101,356343.0,440,Urban
101,There Is Something On Your Mind,Big Jay McNeely And Band,32562,16,102,1418.0,5133,Urban
102,My True Story,The Jive Five,32546,19,103,39658.0,1733,Rock
103,The Son Of Hickory Holler's Tramp,O.C. Smith,32524,14,104,2145.0,4720,Urban
104,Gentle On My Mind,Glen Campbell,32394,16,105,115509.0,947,Traditional
105,Why Do I Love You So,Johnny Tillotson,32258,14,106,9283.0,3215,Rock
106,Love You So,Ron Holden with The Thunderbirds,32230,19,107,9278.0,3216,Other
107,Tell Me,Dick and DeeDee,32226,14,108,1823.0,4872,Rock
108,Angela Jones,Johnny Ferguson,32220,15,109,1187.0,5310,Pop
109,(There Was A) Tall Oak Tree,Dorsey Burnette,32132,15,110,725.0,5785,Traditional
110,My Heart Is An Open Book,"Carl Dobkins, Jr.",32054,24,111,9995.0,3126,Rock
111,Pretty Girls Everywhere,Eugene Church and The Fellows,31982,15,112,250.0,6652,Urban
112,Itchycoo Park,Small Faces,31962,17,113,538812.0,325,Rock
113,You Were Mine,Fireflies,31918,16,114,3477.0,4197,Rock
114,Come To Me,Marv Johnson,31900,15,115,25630.0,2132,Urban
115,"Sweet Cream Ladies, Forward March",The Box Tops,31892,15,116,12499.0,2857,Rock
116,Come And Get These Memories,Martha & The Vandellas,31888,16,117,51503.0,1533,Urban
117,Go Back,Crabby Appleton,31820,14,118,22265.0,2270,Rock
118,Alley Cat,Bent Fabric and His Piano,31792,18,119,1411.0,5136,Pop
119,Alfie,Dionne Warwick,31788,17,120,59870.0,1396,Pop
120,Candy Man,Roy Orbison,31716,14,121,116158.0,946,Rock
121,Morgen,Ivo Robic and The Song-Masters,31702,17,122,8.0,8001,Pop
122,Wiggle Wobble,Les Cooper and the Soul Rockers,31698,16,123,330.0,6430,Rock
123,Up On The Roof,The Drifters,31682,20,124,282165.0,519,Urban
124,Lonely Teardrops,Jackie Wilson,31676,21,125,215109.0,629,Urban
125,Playboy,Gene And Debbe,31664,16,126,97.0,7220,Pop
126,Itchy Twitchy Feeling,Bobby Hendricks,31618,14,127,3624.0,4158,Rock
127,Cupid,Johnny Nash,31572,14,128,44541.0,1640,Other
128,I'll Wait For You,Frankie Avalon,31492,17,129,12403.0,2871,Rock
129,I Love You 1000 Times,The Platters,31488,14,130,5699.0,3701,Rock
130,Three Hearts In A Tangle,Roy Drusky,31416,16,131,6623.0,3547,Traditional
131,Stand By Your Man,Tammy Wynette,31414,16,132,460822.0,364,Traditional
132,(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,31370,16,133,15971.0,2599,Rock
133,"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials,31340,16,134,19197.0,2409,Rock
134,Fancy,Bobbie Gentry,31334,14,135,50510.0,1547,Traditional
135,Up On Cripple Creek,The Band,31292,14,136,668220.0,266,Rock
136,Cotton Fields,The Highwaymen,31236,18,137,8085.0,3355,Traditional
137,Water Boy,Don Shirley Trio,31234,14,138,812.0,5690,Pop
138,Please Mr. Postman,The Marvelettes,31192,23,139,594522.0,304,Urban
139,Caribbean,Mitchell Torok,31188,14,140,1822.0,4873,Rock
140,The Angels Listened In,The Crests,31140,16,141,27366.0,2069,Rock
141,Oh! Carol,Neil Sedaka,31046,18,142,142878.0,823,Rock
142,Too Weak To Fight,Clarence Carter,31022,15,143,31326.0,1939,Traditional
143,Can I Get A Witness,Marvin Gaye,30976,16,144,196059.0,670,Urban
144,One Of Us (Will Weep Tonight),Patti Page,30826,14,145,481.0,6137,Pop
145,Love Is All We Need,Tommy Edwards,30818,16,146,5032.0,3828,Jazz
146,Mongoose,Elephant's Memory,30814,14,147,1259.0,5259,Rock
