,Year,Category,Title,Winners
3414,1970,Record Of The Year,Bridge Over Troubled Water,"Simon And Garfunkel* (Art Garfunkel*, Paul Simon*)"
3415,1970,Album Of The Year,Bridge Over Troubled Water,"Simon And Garfunkel* (Art Garfunkel*, Paul Simon*)"
3416,1970,Song Of The Year,Bridge Over Troubled Water,"Paul Simon, songwriter."
3417,1970,Best New Artist Of The Year,,"Carpenters (Karen Carpenter, Richard Carpenter)"
3418,1970,Best Instrumental Arrangement,"Theme From ""Z""","Henry Mancini, arranger."
3419,1970,Best Arrangement Accompanying Vocalist(s),Bridge Over Troubled Water,"Art Garfunkel, Ernie Freeman, Jimmie Haskell, Larry Knechtel & Paul Simon, arrangers."
3420,1970,Best Engineered Recording - Non-Classical,Bridge Over Troubled Water,"Roy Halee, engineer."
3421,1970,Best Album Cover,Indianola Mississippi Seeds,"Robert Lockart, graphic artist. Ivan Nagy, photographer."
3422,1970,Best Album Notes,The World's Greatest Blues Singer,"Chris Albertson, album notes writer."
3423,1970,Best Contemporary Song,Close To You,"Carpenters (Karen Carpenter, Richard Carpenter)"
3424,1970,Best Contemporary Song,"Theme From ""Z"" And Other Film Music",Henry Mancini
3425,1970,Best Contemporary Song,Bridge Over Troubled Water,"Paul Simon, songwriter."
3426,1970,Best Contemporary Song,I'll Never Fall In Love Again,Dionne Warwick
3427,1970,Best Contemporary Song,Everything Is Beautiful,Ray Stevens
3428,1970,"Best R&B Vocal Performance, Female",Don't Play That Song,Aretha Franklin
3429,1970,"Best R&B Vocal Performance, Male",The Thrill Is Gone,B.B. King
3430,1970,"Best R&B Performance By A Duo Or Group, Vocal Or Instrumental",Didn't I (Blow Your Mind This Time),Delfonics
3431,1970,Best Rhythm & Blues Song,Patches,"General Johnson & Ronald Dunbar, songwriters."
3432,1970,Best Soul Gospel Performance,Every Man Wants To Be Free,Edwin Hawkins
3433,1970,"Best Country Vocal Performance, Female",Rose Garden,Lynn Anderson
3434,1970,"Best Country Vocal Performance, Male",For The Good Times,Ray Price
3435,1970,Best Country Vocal Performance By A Duo Or Group,If I Were A Carpenter,"Johnny Cash & June Carter, artists."
3436,1970,Best Country Instrumental Performance,Me And Jerry,"Chet Atkins & Jerry Reed, artists."
3437,1970,Best Country Song,"My Woman, My Woman, My Wife","Marty Robbins, songwriter."
3438,1970,Best Sacred Performance (Musical),Everything Is Beautiful,Jake Hess
3439,1970,Best Gospel Performance (Other Than Soul Gospel),Talk About The Good Times,Oak Ridge Boys
3440,1970,Best Ethnic Or Traditional Recording (Including Traditional Blues),Good Feelin',T-Bone Walker
3441,1970,Best Instrumental Composition,Airport Love Theme,"Alfred Newman, composer."
3442,1970,Best Original Score Written For A Motion Picture Or A Television Special,Let It Be,"George Harrison, John Lennon,Paul McCartney & Ringo Starr, composers."
3443,1970,Best Score From An Original Cast Show Album,Company,"Stephen Sondheim, composer. Thomas Z. Shepard, producer."
3444,1970,Best Recording For Children,Sesame Street,"Joan Cooney & Thomas Z. Shepard, producers."
3445,1970,Best Comedy Recording,The Devil Made Me Buy This Dress,Flip Wilson
3446,1970,Best Spoken Word Recording,Why I Oppose The War In Vietnam,"Martin Luther King Jr., narrator."
