,song,artist,sum,count,lastfm_count
0,The Twist,Chubby Checker,576,39,528349.0
1,Wipe Out,The Surfaris,1011,30,290333.0
2,Harlem Nocturne,The Viscounts,1808,29,20656.0
3,The Little Drummer Boy,The Harry Simeone Chorale,1224,28,3138.0
4,Running Bear,Johnny Preston,1031,27,78453.0
5,Sunshine Of Your Love,Cream,994,26,3592289.0
6,Moon River,Henry Mancini And His Orchestra,1034,26,380162.0
7,Never On Sunday,Don Costa And His Orchestra And Chorus,1163,26,32.0
8,Finger Poppin' Time,Hank Ballard And The Midnighters,1047,26,1080.0
9,Robbin' The Cradle,Tony Bellus,1358,26,2137.0
10,Mack The Knife,Bobby Darin,424,26,615887.0
11,Chantilly Lace,Big Bopper,696,25,236605.0
12,Get Together,The Youngbloods,1109,25,372939.0
13,My Heart Is An Open Book,"Carl Dobkins, Jr.",815,24,9995.0
14,Sixteen Reasons,Connie Stevens,731,24,54023.0
15,Sweet Nothin's,Brenda Lee,794,24,100786.0
16,Solitary Man,Neil Diamond,1267,24,270472.0
17,A Lover's Question,Clyde McPhatter,645,24,56619.0
18,I'm Sorry,Brenda Lee,541,23,203319.0
19,"To Know Him, Is To Love Him",The Teddy Bears,547,23,2385.0
20,Light My Fire,The Doors,881,23,5574004.0
21,I'll Never Fall In Love Again,Tom Jones,813,23,50850.0
22,Donna,Ritchie Valens,596,23,217479.0
23,He'll Have To Go,Jim Reeves,394,23,123603.0
24,But It's Alright,J.J. Jackson,1200,23,57245.0
25,Dreamy Eyes,Johnny Tillotson,1658,23,6289.0
26,Let's Twist Again,Chubby Checker,819,23,547943.0
27,Limbo Rock,Chubby Checker,564,23,111131.0
28,Tall Cool One,The Wailers,1341,23,13270.0
29,Yellow River,Christie,1220,23,218665.0
30,Tossin' And Turnin',Bobby Lewis,520,23,55343.0
31,Please Mr. Postman,The Marvelettes,818,23,594522.0
32,North To Alaska,Johnny Horton,615,23,84716.0
33,"Please Help Me, I'm Falling",Hank Locklin,710,22,44353.0
34,"Sugar, Sugar",The Archies,425,22,605428.0
35,You Got What It Takes,Marv Johnson,777,22,34854.0
36,It's All In The Game,Tommy Edwards,409,22,88205.0
37,El Paso,Marty Robbins,633,22,283878.0
38,Raindrops Keep Fallin' On My Head,B.J. Thomas,428,22,273703.0
39,"Hello, Dolly!",Louis Armstrong And The All Stars,382,22,4718.0
40,Hitchin' A Ride,Vanity Fare,819,22,82648.0
41,"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus",703,22,898.0
42,Just As Much As Ever,Bob Beckham,1140,21,232.0
43,The Ballad Of Thunder Road,Robert Mitchum,1752,21,9695.0
44,The Battle Of New Orleans,Johnny Horton,389,21,132109.0
45,Lonely Teardrops,Jackie Wilson,602,21,215109.0
46,16 Candles,The Crests,604,21,66145.0
47,Lonely Weekends,Charlie Rich,1080,21,37656.0
48,Rock-in Robin,Bobby Day,464,21,6011.0
49,Only The Lonely (Know How I Feel),Roy Orbison,615,21,20956.0
50,Primrose Lane,Jerry Wallace With The Jewels,624,21,60.0
51,Spill The Wine,Eric Burdon And War,818,21,102863.0
