groupby_lastfm,year,song,artist,genre,inverse_score,number_of_weeks,old_popularity,artist_rank,lastfm,lastfm_rank,youtube,youtube_rank,new_total_count,genre_category,Alternative & Punk,Classical,Electronica,Jazz,Other,Pop,Rock,Soundtrack,Traditional,Urban,number_of_songs_by_artist,total_number_of_songs_by_artist,genre_Count_from2005,groupby_youtube,groupby_5,groupby_3,rankby_total_count,groupby_3_total_rank,groupby_5_total_rank,full_gerne_count
1,1964,The House Of The Rising Sun,The Animals,Rock,963,11,863,181,4600463,19,194167598.0,1,198768061.0,6,0,0,0,0,0,0,1,0,0,0,86,96,1990,1,1,1,1,1,1,75454
1,1966,These Boots Are Made For Walkin',Nancy Sinatra,Rock,1157,14,364,146,803381,220,111380905.0,5,112184286.0,6,0,0,0,0,0,0,1,0,0,0,108,108,1990,1,1,1,5,1,1,75454
1,1968,Hey Jude,The Beatles,Rock,1770,19,14,1,5506995,14,89662830.0,9,95169825.0,6,0,0,0,0,0,0,1,0,0,0,530,608,1990,1,1,1,6,1,1,75454
10,1960,I Need You Now,100 Strings and Jono (Choir of 40 Voices),Rock,3,1,8214,2367,0,8277,93305268.0,7,93305268.0,-1,0,0,0,0,0,0,0,0,0,0,1,1,1990,1,1,1,7,1,1,75454
10,1965,4 - By The Beatles,The Beatles,Rock,136,5,5478,1,1,8193,89668570.0,8,89668571.0,6,0,0,0,0,0,0,1,0,0,0,530,608,1990,1,1,1,8,1,1,75454
1,1967,A Whiter Shade Of Pale,Procol Harum,Rock,977,12,824,877,1674118,109,83706857.0,10,85380975.0,6,0,0,0,0,0,0,1,0,0,0,17,30,1990,1,1,1,10,1,1,75454
1,1961,Let's Twist Again,Chubby Checker,Rock,1504,23,52,13,547943,318,82272898.0,11,82820841.0,6,0,0,0,0,0,0,1,0,0,0,302,307,1990,1,1,1,11,1,1,75454
1,1968,All Along The Watchtower,The Jimi Hendrix Experience,Rock,622,9,2095,507,2076396,86,78159224.0,13,80235620.0,6,0,0,0,0,0,0,1,0,0,0,29,29,1990,1,1,1,12,1,1,75454
1,1967,Hello Goodbye,The Beatles,Rock,997,11,745,1,3566502,39,62901149.0,15,66467651.0,6,0,0,0,0,0,0,1,0,0,0,530,608,1990,1,1,1,13,1,1,75454
1,1970,In The Summertime,Mungo Jerry,Rock,1027,13,672,1099,930083,190,61518395.0,16,62448478.0,6,0,0,0,0,0,0,1,0,0,0,13,13,1990,1,1,1,15,1,1,75454
1,1967,White Rabbit,Jefferson Airplane,Rock,785,10,1483,285,4637495,18,49143385.0,20,53780880.0,6,0,0,0,0,0,0,1,0,0,0,54,64,1990,1,1,1,17,1,1,75454
1,1969,Suspicious Minds,Elvis Presley,Rock,1210,15,277,25,2123317,85,50072451.0,18,52195768.0,6,0,0,0,0,0,0,1,0,0,0,742,985,1990,1,1,1,18,1,1,75454
1,1967,Penny Lane,The Beatles,Rock,813,10,1364,1,3834302,31,47511794.0,21,51346096.0,6,0,0,0,0,0,0,1,0,0,0,530,608,1990,1,1,1,19,1,1,75454
1,1969,Bad Moon Rising,Creedence Clearwater Revival,Rock,1140,14,396,108,4160118,24,47028179.0,23,51188297.0,6,0,0,0,0,0,0,1,0,0,0,127,154,1990,1,1,1,20,1,1,75454
1,1969,In The Ghetto,Elvis Presley,Rock,1053,13,615,25,1366175,130,49241394.0,19,50607569.0,6,0,0,0,0,0,0,1,0,0,0,742,985,1990,1,1,1,21,1,1,75454
1,1969,Whole Lotta Love,Led Zeppelin,Rock,1202,15,287,490,5650518,9,43219824.0,25,48870342.0,6,0,0,0,0,0,0,1,0,0,0,30,100,1990,1,1,1,22,1,1,75454
