song,artist,lastfm_count,new_popularity
Paranoid,Black Sabbath,7846242.0,1
The Sound Of Silence,Simon & Garfunkel,7006004.0,2
"Paint It, Black",The Rolling Stones,6971647.0,3
Let It Be,The Beatles,6917316.0,4
Yesterday,The Beatles,6647511.0,5
Immigrant Song,Led Zeppelin,6268358.0,6
Help!,The Beatles,6265950.0,7
Like A Rolling Stone,Bob Dylan,5706300.0,8
Whole Lotta Love,Led Zeppelin,5650518.0,9
People Are Strange,The Doors,5647930.0,10
Something,The Beatles,5623107.0,11
Eleanor Rigby,The Beatles,5617352.0,12
Light My Fire,The Doors,5574004.0,13
Hey Jude,The Beatles,5506995.0,14
Fortunate Son,Creedence Clearwater Revival,5322393.0,15
All You Need Is Love,The Beatles,5319188.0,16
Yellow Submarine,The Beatles,4998369.0,17
White Rabbit,Jefferson Airplane,4637495.0,18
The House Of The Rising Sun,The Animals,4600463.0,19
Strawberry Fields Forever,The Beatles,4353482.0,20
(I Can't Get No) Satisfaction,The Rolling Stones,4312676.0,21
Get Back,The Beatles With Billy Preston,4243433.0,22
Somebody To Love,Jefferson Airplane,4183522.0,23
Bad Moon Rising,Creedence Clearwater Revival,4160118.0,24
Can't Buy Me Love,The Beatles,4014373.0,25
Good Times Bad Times,Led Zeppelin,3970777.0,26
Love Me Do,The Beatles,3931483.0,27
Mrs. Robinson,Simon & Garfunkel,3853551.0,28
A Hard Day's Night,The Beatles,3843250.0,29
California Dreamin',The Mamas & The Papas,3842033.0,30
Penny Lane,The Beatles,3834302.0,31
Love Me Two Times,The Doors,3818808.0,32
I Am The Walrus,The Beatles,3706946.0,33
Ring Of Fire,Johnny Cash,3670077.0,34
Brown Eyed Girl,Van Morrison,3608286.0,35
Sunshine Of Your Love,Cream,3592289.0,36
Wouldn't It Be Nice,The Beach Boys,3587627.0,37
Ticket To Ride,The Beatles,3572169.0,38
Hello Goodbye,The Beatles,3566502.0,39
I Want You Back,Jackson 5,3521849.0,40
She Loves You,The Beatles,3326929.0,41
My Generation,The Who,3303879.0,42
All My Loving,The Beatles,3170390.0,43
"Hello, I Love You",The Doors,3151241.0,44
Foxey Lady,Jimi Hendrix,3150398.0,45
Your Song,Elton John,3134401.0,46
Touch Me,The Doors,3127603.0,47
Eight Days A Week,The Beatles,3117658.0,48
Twist And Shout,The Beatles,3107165.0,49
You Really Got Me,The Kinks,3016778.0,50
God Only Knows,The Beach Boys,3009584.0,51
Born To Be Wild,Steppenwolf,2959111.0,52
Respect,Aretha Franklin,2898553.0,53
The Boxer,Simon & Garfunkel,2864595.0,54
Lady Madonna,The Beatles,2859774.0,55
And I Love Her,The Beatles,2803166.0,56
Johnny B. Goode,Chuck Berry,2752887.0,57
Stand By Me,Ben E. King,2744255.0,58
Folsom Prison Blues,Johnny Cash,2720398.0,59
(Sittin' On) The Dock Of The Bay,Otis Redding,2719232.0,60
Good Vibrations,The Beach Boys,2643834.0,61
Day Tripper,The Beatles,2521416.0,62
All Day And All Of The Night,The Kinks,2519141.0,63
Subterranean Homesick Blues,Bob Dylan,2472574.0,64
Proud Mary,Creedence Clearwater Revival,2467773.0,65
We Can Work It Out,The Beatles,2460648.0,66
Nowhere Man,The Beatles,2453351.0,67
Bridge Over Troubled Water,Simon & Garfunkel,2440266.0,68
I Saw Her Standing There,The Beatles,2414726.0,69
White Room,Cream,2410465.0,70
I Want You,Bob Dylan,2387257.0,71
Cecilia,Simon & Garfunkel,2334455.0,72
Happy Together,The Turtles,2316510.0,73
Pinball Wizard,The Who,2311189.0,74
Lay Lady Lay,Bob Dylan,2306624.0,75
Revolution,The Beatles,2302528.0,76
I Feel Fine,The Beatles,2289063.0,77
Just Like A Woman,Bob Dylan,2235499.0,78
My Girl,The Temptations,2228223.0,79
From Me To You,The Beatles,2217503.0,80
Lola,The Kinks,2173537.0,81
Sunny Afternoon,The Kinks,2172490.0,82
Paperback Writer,The Beatles,2166888.0,83
ABC,Jackson 5,2129390.0,84
Suspicious Minds,Elvis Presley,2123317.0,85
All Along The Watchtower,The Jimi Hendrix Experience,2076396.0,86
Jumpin' Jack Flash,The Rolling Stones,2015397.0,87
My Way,Frank Sinatra,2012826.0,88
Don't Let Me Down,The Beatles With Billy Preston,1982612.0,89
Street Fighting Man,The Rolling Stones,1961410.0,90
I Heard It Through The Grapevine,Marvin Gaye,1946670.0,91
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1940795.0,92
The Weight,The Band,1920781.0,93
Purple Haze,The Jimi Hendrix Experience,1876786.0,94
Ruby Tuesday,The Rolling Stones,1868140.0,95
A Well Respected Man,The Kinks,1863098.0,96
Green River,Creedence Clearwater Revival,1853109.0,97
I Say A Little Prayer,Aretha Franklin,1844572.0,98
Spirit In The Sky,Norman Greenbaum,1820306.0,99
I Am A Rock,Simon & Garfunkel,1820158.0,100
At Last,Etta James,1819977.0,101
If I Fell,The Beatles,1810683.0,102
Be My Baby,The Ronettes,1774162.0,103
Please Please Me,The Beatles,1762959.0,104
Time Of The Season,The Zombies,1749654.0,105
I Get Around,The Beach Boys,1736753.0,106
The Ballad Of John And Yoko,The Beatles,1684786.0,107
Homeward Bound,Simon & Garfunkel,1676501.0,108
A Whiter Shade Of Pale,Procol Harum,1674118.0,109
Unchained Melody,The Righteous Brothers,1663886.0,110
Living Loving Maid (She's Just A Woman),Led Zeppelin,1630755.0,111
All Right Now,Free,1627848.0,112
Strangers In The Night,Frank Sinatra,1608383.0,113
I Can See For Miles,The Who,1605531.0,114
Hush,Deep Purple,1586065.0,115
San Francisco (Be Sure To Wear Flowers In Your Hair),Scott McKenzie,1570554.0,116
I Should Have Known Better,The Beatles,1569841.0,117
