song,artist,sum,count,old_popularity
Harlem Nocturne,The Viscounts,62252,29,1
Never On Sunday,Don Costa And His Orchestra And Chorus,56062,26,2
Robbin' The Cradle,Tony Bellus,53176,26,3
Moon River,Henry Mancini And His Orchestra,52194,26,4
The Little Drummer Boy,The Harry Simeone Chorale,52096,28,5
Tall Cool One,The Wailers,50508,23,6
Solitary Man,Neil Diamond,50414,24,7
Sunshine Of Your Love,Cream,49008,26,8
But It's Alright,J.J. Jackson,48434,23,9
Wipe Out,The Surfaris,47806,30,10
Finger Poppin' Time,Hank Ballard And The Midnighters,46794,26,11
Yellow River,Christie,46384,23,12
I Left My Heart In San Francisco,Tony Bennett,45074,21,13
It's Getting Better,Mama Cass,43830,19,14
I Want To Take You Higher,Ike & Tina Turner & The Ikettes,43076,18,15
Let's Twist Again,Chubby Checker,42448,23,16
Just As Much As Ever,Bob Beckham,41662,21,17
Days Of Wine And Roses,Henry Mancini And His Orchestra,41636,18,18
Chantilly Lace,Big Bopper,41156,25,19
Dreamy Eyes,Johnny Tillotson,41076,23,20
Lonely Weekends,Charlie Rich,40758,21,21
You're So Fine,The Falcons,39824,20,22
Fannie Mae,Buster Brown,39338,17,23
"Summertime, Summertime",The Jamies,39256,19,24
I Fall To Pieces,Patsy Cline,38620,20,25
The Wonder Of You,Ray Peterson,38612,19,26
I'll Never Fall In Love Again,Tom Jones,38566,23,27
Am I That Easy To Forget,Debbie Reynolds,38374,17,28
Get Together,The Youngbloods,38372,25,29
As The Years Go By,Mashmakhan,38330,18,30
Mountain Of Love,Harold Dorman,37908,19,31
Love Potion No. 9,The Clovers,37622,17,32
Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,37570,19,33
Nobody But You,Dee Clark,37568,17,34
First Name Initial,Annette With The Afterbeats,37496,18,35
High Hopes,Frank Sinatra and a bunch of kids,37418,17,36
Love Land,Charles Wright And The Watts 103rd Street Rhythm Band,37320,17,37
You Got What It Takes,Marv Johnson,37286,22,38
Mona Lisa,Carl Mann,37238,16,39
Win Your Love For Me,Sam Cooke,37208,17,40
Going In Circles,The Friends Of Distinction,37190,20,41
What's Easy For Two Is So Hard For One,Mary Wells,37096,17,42
In-A-Gadda-Da-Vida,Iron Butterfly,36944,17,43
"Please Help Me, I'm Falling",Hank Locklin,36852,22,44
Makin' Love,Floyd Robinson,36802,18,45
Sixteen Reasons,Connie Stevens,36742,24,46
The Twist,Chubby Checker,36734,39,47
Cast Your Fate To The Wind,Vince Guaraldi Trio,36540,18,48
Town Without Pity,Gene Pitney,36466,19,49
For The Good Times,Ray Price,36298,18,50
Hideaway,The Four Esquires,35890,17,51
Ooh Poo Pah Doo - Part II,Jessie Hill,35878,16,52
Anymore,Teresa Brewer,35718,16,53
Money (That's what I want),Barrett Strong,35712,17,54
Poor Boy,The Royaltones,35474,17,55
Better Tell Him No,The Starlets,35340,16,56
I Cried A Tear,LaVern Baker,35228,21,57
I Want To Take You Higher,Sly & The Family Stone,35228,16,58
One Tin Soldier,The Original Caste,35208,17,59
Ten Commandments Of Love,Harvey & The Moonglows,35124,16,60
All I Could Do Was Cry,Etta James,35056,15,61
Sweet Nothin's,Brenda Lee,35014,24,62
What A Diff'rence A Day Makes,Dinah Washington,34838,20,63
There Goes My Heart,Joni James,34756,16,64
A Lover's Question,Clyde McPhatter,34730,24,65
Hurt So Bad,The Lettermen,34624,21,66
Baby Elephant Walk,Lawrence Welk And His Orchestra,34570,16,67
Believe Me,Royal Teens,34414,15,68
Mary Lou,Ronnie Hawkins and The Hawks,34390,16,69
Just Out Of Reach (Of My Two Open Arms),Solomon Burke,34334,17,70
Running Bear,Johnny Preston,34304,27,71
Love You Most Of All,Sam Cooke,34242,16,72
Jennifer Tomkins,Street People,34228,15,73
The Twist,Hank Ballard And The Midnighters,34190,16,74
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,33932,20,75
Come Saturday Morning,The Sandpipers,33860,20,76
Moon River,Jerry Butler,33842,17,77
(All of a Sudden) My Heart Sings,Paul Anka,33828,17,78
Primrose Lane,Jerry Wallace With The Jewels,33628,21,79
Missing You,Ray Peterson,33628,15,80
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,33554,15,81
A Taste Of Honey,Martin Denny and His Orchestra,33500,15,82
Lucky Devil,"Carl Dobkins, Jr.",33334,17,83
Almost Persuaded,David Houston,33320,15,84
Mississippi Queen,Mountain,33298,17,85
Surfin' Safari,The Beach Boys,33226,17,86
Danny Boy,Conway Twitty,33212,18,87
Born Free,Roger Williams,33184,21,88
Any Way That You Want Me,Evie Sands,33106,17,89
Doggin' Around,Jackie Wilson,33090,16,90
Hitchin' A Ride,Vanity Fare,33072,22,91
"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus",33008,22,92
No One Knows,Dion & The Belmonts,32986,16,93
It's Gonna Work Out Fine,Ike & Tina Turner,32984,15,94
Hang 'Em High,Booker T. & The MG's,32888,18,95
La Bamba,Ritchie Valens,32878,15,96
Once In Awhile,The Chimes,32864,18,97
Wings Of A Dove,Ferlin Husky,32786,18,98
Soul Serenade,Willie Mitchell,32754,15,99
Jingle Bell Rock,Bobby Helms,32746,15,100
Knock On Wood,Eddie Floyd,32596,17,101
There Is Something On Your Mind,Big Jay McNeely And Band,32562,16,102
My True Story,The Jive Five,32546,19,103
The Son Of Hickory Holler's Tramp,O.C. Smith,32524,14,104
Gentle On My Mind,Glen Campbell,32394,16,105
Why Do I Love You So,Johnny Tillotson,32258,14,106
Love You So,Ron Holden with The Thunderbirds,32230,19,107
Tell Me,Dick and DeeDee,32226,14,108
Angela Jones,Johnny Ferguson,32220,15,109
(There Was A) Tall Oak Tree,Dorsey Burnette,32132,15,110
My Heart Is An Open Book,"Carl Dobkins, Jr.",32054,24,111
Pretty Girls Everywhere,Eugene Church and The Fellows,31982,15,112
Itchycoo Park,Small Faces,31962,17,113
You Were Mine,Fireflies,31918,16,114
Come To Me,Marv Johnson,31900,15,115
"Sweet Cream Ladies, Forward March",The Box Tops,31892,15,116
Come And Get These Memories,Martha & The Vandellas,31888,16,117
Go Back,Crabby Appleton,31820,14,118
Alley Cat,Bent Fabric and His Piano,31792,18,119
Alfie,Dionne Warwick,31788,17,120
Candy Man,Roy Orbison,31716,14,121
Morgen,Ivo Robic and The Song-Masters,31702,17,122
Wiggle Wobble,Les Cooper and the Soul Rockers,31698,16,123
Up On The Roof,The Drifters,31682,20,124
Lonely Teardrops,Jackie Wilson,31676,21,125
Playboy,Gene And Debbe,31664,16,126
Itchy Twitchy Feeling,Bobby Hendricks,31618,14,127
Cupid,Johnny Nash,31572,14,128
I'll Wait For You,Frankie Avalon,31492,17,129
I Love You 1000 Times,The Platters,31488,14,130
Three Hearts In A Tangle,Roy Drusky,31416,16,131
Stand By Your Man,Tammy Wynette,31414,16,132
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,31370,16,133
