,song,artist,sum,count,old_popularity,lastfm_count,new_popularity,genre,year
5513,Paranoid,Black Sabbath,9468,5,5514,7846242,1,Rock,
5471,Let It Be,The Beatles,9706,14,5472,6917316,4,Rock,
5392,Yesterday,The Beatles,10112,11,5393,6647511,5,Rock,
4727,Immigrant Song,Led Zeppelin,12686,6,4728,6268358,6,Rock,
4562,Help!,The Beatles,13264,13,4563,6265950,7,Rock,
4214,Like A Rolling Stone,Bob Dylan,14284,12,4215,5706300,8,Rock,
2800,Whole Lotta Love,Led Zeppelin,17588,15,2801,5650518,9,Rock,
3286,People Are Strange,The Doors,16498,9,3287,5647930,10,Rock,
6339,Something,The Beatles,5016,6,6340,5623107,11,Rock,
4277,Eleanor Rigby,The Beatles,14074,8,4278,5617352,12,Rock,
966,Light My Fire,The Doors,22830,23,967,5574004,13,Rock,
4999,Hey Jude,The Beatles,11668,19,5000,5506995,14,Rock,
5910,Fortunate Son,Creedence Clearwater Revival,7316,4,5911,5322393,15,Rock,
5200,All You Need Is Love,The Beatles,10912,11,5201,5319188,16,Rock,
5609,Yellow Submarine,The Beatles,8964,9,5610,4998369,17,Rock,
3666,White Rabbit,Jefferson Airplane,15786,10,3667,4637495,18,Rock,
5535,The House Of The Rising Sun,The Animals,9338,11,5536,4600463,19,Rock,
4609,Strawberry Fields Forever,The Beatles,13112,9,4610,4353482,20,Rock,
4875,(I Can't Get No) Satisfaction,The Rolling Stones,12170,14,4876,4312676,21,Rock,
5971,Get Back,The Beatles With Billy Preston,6994,12,5972,4243433,22,Rock,
692,Somebody To Love,Jefferson Airplane,24220,15,693,4183522,23,Rock,
3701,Bad Moon Rising,Creedence Clearwater Revival,15700,14,3702,4160118,24,Rock,
5746,Can't Buy Me Love,The Beatles,8240,10,5747,4014373,25,Rock,
6262,Good Times Bad Times,Led Zeppelin,5386,4,6263,3970777,26,Rock,
3831,Love Me Do,The Beatles,15450,14,3832,3931483,27,Rock,
5027,A Hard Day's Night,The Beatles,11566,13,5028,3843250,29,Rock,
5396,Penny Lane,The Beatles,10086,10,5397,3834302,31,Rock,
3642,Love Me Two Times,The Doors,15836,7,3643,3818808,32,Rock,
5533,I Am The Walrus,The Beatles,9346,4,5534,3706946,33,Rock,
568,Brown Eyed Girl,Van Morrison,25020,16,569,3608286,35,Rock,
7,Sunshine Of Your Love,Cream,49008,26,8,3592289,36,Rock,1967.0
2809,Wouldn't It Be Nice,The Beach Boys,17572,11,2810,3587627,37,Rock,
5094,Ticket To Ride,The Beatles,11314,11,5095,3572169,38,Rock,
5742,Hello Goodbye,The Beatles,8254,11,5743,3566502,39,Rock,
5132,She Loves You,The Beatles,11156,15,5133,3326929,41,Rock,
5797,My Generation,The Who,7938,5,5798,3303879,42,Rock,
4074,All My Loving,The Beatles,14716,6,4075,3170390,43,Rock,
5519,"Hello, I Love You",The Doors,9424,12,5520,3151241,44,Rock,
5842,Foxey Lady,Jimi Hendrix,7646,4,5843,3150398,45,Rock,
4470,Touch Me,The Doors,13556,13,4471,3127603,47,Rock,
5280,Eight Days A Week,The Beatles,10640,10,5281,3117658,48,Rock,
5411,Twist And Shout,The Beatles,10002,11,5412,3107165,49,Rock,
2216,God Only Knows,The Beach Boys,18914,8,2217,3009584,51,Rock,
4356,Born To Be Wild,Steppenwolf,13850,13,4357,2959111,52,Rock,
4941,Lady Madonna,The Beatles,11892,11,4942,2859774,55,Rock,
3906,And I Love Her,The Beatles,15210,9,3907,2803166,56,Rock,
7293,Johnny B. Goode,Chuck Berry,1680,1,7294,2752887,57,Rock,
4174,Good Vibrations,The Beach Boys,14364,14,4175,2643834,61,Rock,
3671,Day Tripper,The Beatles,15778,10,3672,2521416,62,Rock,
2476,Subterranean Homesick Blues,Bob Dylan,18326,8,2477,2472574,64,Rock,
3355,Proud Mary,Creedence Clearwater Revival,16384,14,3356,2467773,65,Rock,
5327,We Can Work It Out,The Beatles,10430,12,5328,2460648,66,Rock,
5686,Nowhere Man,The Beatles,8558,9,5687,2453351,67,Rock,
1121,I Saw Her Standing There,The Beatles,22172,11,1122,2414726,69,Rock,
4051,White Room,Cream,14770,11,4052,2410465,70,Rock,
4201,Happy Together,The Turtles,14312,15,4202,2316510,73,Rock,
891,Pinball Wizard,The Who,23190,11,892,2311189,74,Rock,
2145,Lay Lady Lay,Bob Dylan,19066,14,2146,2306624,75,Rock,
3255,Revolution,The Beatles,16568,11,3256,2302528,76,Rock,
5703,I Feel Fine,The Beatles,8470,11,5704,2289063,77,Rock,
4456,Just Like A Woman,Bob Dylan,13590,6,4457,2235499,78,Rock,
4528,From Me To You,The Beatles,13386,6,4529,2217503,80,Rock,
740,Lola,The Kinks,23984,14,741,2173537,81,Rock,
1874,Sunny Afternoon,The Kinks,19772,11,1875,2172490,82,Rock,
5469,Paperback Writer,The Beatles,9712,10,5470,2166888,83,Rock,
2574,Suspicious Minds,Elvis Presley,18128,15,2575,2123317,85,Rock,
2487,All Along The Watchtower,The Jimi Hendrix Experience,18306,9,2488,2076396,86,Rock,
4640,Jumpin' Jack Flash,The Rolling Stones,13040,12,4641,2015397,87,Rock,
5496,Don't Let Me Down,The Beatles With Billy Preston,9568,4,5497,1982612,89,Rock,
4322,Street Fighting Man,The Rolling Stones,13938,6,4323,1961410,90,Rock,
3592,Can't Help Falling In Love,Elvis Presley With The Jordanaires,15942,14,3593,1940795,92,Rock,
4159,The Weight,The Band,14416,7,4160,1920781,93,Rock,
4741,Purple Haze,The Jimi Hendrix Experience,12638,8,4742,1876786,94,Rock,
4846,Ruby Tuesday,The Rolling Stones,12274,12,4847,1868140,95,Rock,
418,A Well Respected Man,The Kinks,26280,14,419,1863098,96,Rock,
4482,Green River,Creedence Clearwater Revival,13508,13,4483,1853109,97,Rock,
3392,Spirit In The Sky,Norman Greenbaum,16306,15,3393,1820306,99,Rock,
2082,If I Fell,The Beatles,19210,9,2083,1810683,102,Rock,
4288,Be My Baby,The Ronettes,14040,13,4289,1774162,103,Rock,
3536,Please Please Me,The Beatles,16050,13,3537,1762959,104,Rock,
3036,Time Of The Season,The Zombies,17052,13,3037,1749654,105,Rock,
4285,I Get Around,The Beach Boys,14048,15,4286,1736753,106,Rock,
5122,The Ballad Of John And Yoko,The Beatles,11188,9,5123,1684786,107,Rock,
4399,A Whiter Shade Of Pale,Procol Harum,13746,12,4400,1674118,109,Rock,
2990,Unchained Melody,The Righteous Brothers,17156,13,2991,1663886,110,Rock,
5462,Living Loving Maid (She's Just A Woman),Led Zeppelin,9748,5,5463,1630755,111,Rock,
1904,All Right Now,Free,19694,16,1905,1627848,112,Rock,
2984,I Can See For Miles,The Who,17174,11,2985,1605531,114,Rock,
4755,Hush,Deep Purple,12578,10,4756,1586065,115,Rock,
5551,I Should Have Known Better,The Beatles,9282,4,5552,1569841,117,Rock,
4311,Sloop John B,The Beach Boys,13964,11,4312,1565246,118,Rock,
1439,Magic Carpet Ride,Steppenwolf,21054,16,1440,1560512,119,Rock,
5431,I'm A Believer,The Monkees,9916,15,5432,1514537,120,Rock,
2079,Fire And Rain,James Taylor,19214,16,2080,1511300,121,Rock,
3806,She's A Rainbow,The Rolling Stones,15498,7,3807,1498337,123,Rock,
3840,I Put A Spell On You,Creedence Clearwater Revival,15434,9,3841,1482684,124,Rock,
4363,Mr. Tambourine Man,The Byrds,13824,13,4364,1466650,126,Rock,
2173,The Unknown Soldier,The Doors,18992,8,2174,1424479,127,Rock,
5532,Lodi,Creedence Clearwater Revival,9350,4,5533,1399375,128,Rock,
5324,Honky Tonk Women,The Rolling Stones,10440,15,5325,1397506,129,Rock,
3586,In The Ghetto,Elvis Presley,15964,13,3587,1366175,130,Rock,
2652,For Your Love,The Yardbirds,17992,12,2653,1362566,131,Rock,
2952,The Letter,The Box Tops,17244,16,2953,1351424,133,Rock,
4929,Baby You're A Rich Man,The Beatles,11960,5,4930,1346968,134,Rock,
7992,I'm Happy Just To Dance With You,The Beatles,570,1,7993,1314468,137,Rock,
6914,What Goes On,The Beatles,2688,2,6915,1304963,138,Rock,
1956,Runaway,Del Shannon,19542,17,1957,1260889,142,Rock,
7708,I Can't Explain,The Who,942,2,7709,1243003,143,Rock,
4292,California Girls,The Beach Boys,14020,11,4293,1239394,144,Rock,
4854,Do You Want To Know A Secret,The Beatles,12254,11,4855,1235981,145,Rock,
5408,Black Magic Woman,Santana,10014,7,5409,1210389,147,Rock,
2970,You Never Can Tell,Chuck Berry,17206,9,2971,1203121,148,Rock,
5067,Rainy Day Women #12 & 35,Bob Dylan,11408,10,5068,1199717,149,Rock,
3049,She's Not There,The Zombies,17008,15,3050,1189317,150,Rock,
4342,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,13892,14,4343,1185659,151,Rock,
2493,Let's Spend The Night Together,The Rolling Stones,18294,8,2494,1169382,153,Rock,
8071,Play With Fire,The Rolling Stones,480,1,8072,1163913,154,Rock,
5422,Summer In The City,The Lovin' Spoonful,9950,11,5423,1149081,156,Rock,
2227,Don't Let Me Be Misunderstood,The Animals,18894,10,2228,1144828,157,Rock,
5830,Roll Over Beethoven,The Beatles,7726,4,5831,1143109,158,Rock,
320,Little Green Bag,George Baker Selection,27426,13,321,1127604,160,Rock,
5931,Black Night,Deep Purple,7200,4,5932,1127360,161,Rock,
3562,Act Naturally,The Beatles,16018,7,3563,1115881,162,Rock,
5439,You Can't Do That,The Beatles,9874,4,5440,1110833,163,Rock,
5268,With A Little Help From My Friends,Joe Cocker,10682,6,5269,1096769,166,Rock,
1447,Only Love Can Break Your Heart,Neil Young,21018,10,1448,1095586,167,Rock,
5632,19th Nervous Breakdown,The Rolling Stones,8842,10,5633,1086531,168,Rock,
5022,Get Off Of My Cloud,The Rolling Stones,11600,12,5023,1085066,169,Rock,
2461,On The Road Again,Canned Heat,18348,11,2462,1071634,170,Rock,
3679,Build Me Up Buttercup,The Foundations,15766,15,3680,1062355,171,Rock,
4581,P.S. I Love You,The Beatles,13198,8,4582,1057075,172,Rock,
4316,Positively 4th Street,Bob Dylan,13956,9,4317,1042470,173,Rock,
3931,The Seeker,The Who,15138,7,3932,1039387,174,Rock,
3653,I'll Cry Instead,The Beatles,15810,7,3654,1031251,175,Rock,
5953,Daydream Believer,The Monkees,7072,12,5954,1019523,178,Rock,
2342,Time Is On My Side,The Rolling Stones,18616,13,2343,991828,180,Rock,
2924,Happy Jack,The Who,17308,9,2925,985285,182,Rock,
3472,The Last Time,The Rolling Stones,16158,10,3473,983909,183,Rock,
1852,Beyond The Sea,Bobby Darin,19828,14,1853,947485,188,Rock,
2388,Magic Bus,The Who,18506,9,2389,931917,189,Rock,
3780,In The Summertime,Mungo Jerry,15544,13,3781,930083,190,Rock,
4103,Barbara Ann,The Beach Boys,14594,11,4104,925288,191,Rock,
3628,Surfin' Bird,The Trashmen,15878,13,3629,921190,192,Rock,
2606,Commotion,Creedence Clearwater Revival,18062,8,2607,915301,193,Rock,
4551,As Tears Go By,The Rolling Stones,13294,9,4552,908837,194,Rock,
1124,Not Fade Away,The Rolling Stones,22166,13,1125,906954,195,Rock,
2098,Crosstown Traffic,The Jimi Hendrix Experience,19180,8,2099,904887,196,Rock,
2826,Going Up The Country,Canned Heat,17550,11,2827,899622,198,Rock,
1880,Don't Worry Baby,The Beach Boys,19754,10,1881,896388,199,Rock,
4507,Downtown,Petula Clark,13430,15,4508,895928,201,Rock,
3385,Louie Louie,The Kingsmen,16324,18,3386,862281,205,Rock,
5401,Badge,Cream,10066,5,5402,845495,208,Rock,
7146,There's A Place,The Beatles,1998,1,7147,841848,209,Rock,
5827,A Little Less Conversation,Elvis Presley With The Jordanaires,7758,4,5828,840905,211,Rock,
3794,Crossroads,Cream,15522,8,3795,837621,212,Rock,
303,Summertime Blues,Eddie Cochran,27682,16,304,834881,213,Rock,
6574,All I Have To Do Is Dream,The Everly Brothers,4038,4,6575,827973,215,Rock,
3542,Elenore,The Turtles,16046,12,3543,812497,218,Rock,
3939,These Boots Are Made For Walkin',Nancy Sinatra,15118,14,3940,803381,220,Rock,
3247,You're Gonna Miss Me,The Thirteenth Floor Elevators,16582,8,3248,793877,224,Rock,
84,Mississippi Queen,Mountain,33298,17,85,788166,226,Rock,
3909,Volunteers,Jefferson Airplane,15206,10,3910,787298,227,Rock,
713,Surfin' U.S.A.,The Beach Boys,24114,17,714,777563,228,Rock,
4173,Rain,The Beatles,14368,7,4174,777229,229,Rock,
2300,It's Now Or Never,Elvis Presley With The Jordanaires,18708,20,2301,769829,234,Rock,
1046,No Milk Today,Herman's Hermits,22476,10,1047,769811,235,Rock,
1693,Heart Full Of Soul,The Yardbirds,20278,12,1694,768664,237,Rock,
3850,Return To Sender,Elvis Presley With The Jordanaires,15412,16,3851,765939,238,Rock,
974,After Midnight,Eric Clapton,22816,11,975,764437,239,Rock,
2090,In Dreams,Roy Orbison,19188,13,2091,760892,240,Rock,
42,In-A-Gadda-Da-Vida,Iron Butterfly,36944,17,43,760671,241,Rock,
6217,Leopard-Skin Pill-Box Hat,Bob Dylan,5590,4,6218,750219,244,Rock,
3632,Eight Miles High,The Byrds,15872,9,3633,748506,245,Rock,
1866,We Gotta Get Out Of This Place,The Animals,19786,11,1867,746755,247,Rock,
3014,Tired Of Waiting For You,The Kinks,17106,11,3015,735595,248,Rock,
4716,Crimson And Clover,Tommy James And The Shondells,12746,16,4717,732606,249,Rock,
1433,Crying,Roy Orbison,21072,16,1434,726965,252,Rock,
3393,25 Or 6 To 4,Chicago,16306,12,3394,715736,253,Rock,
2637,Kozmic Blues,Janis Joplin,18014,9,2638,715198,254,Rock,
2263,With A Girl Like You,The Troggs,18792,8,2264,702408,256,Rock,
4280,I Don't Want To Spoil The Party,The Beatles,14070,6,4281,697898,257,Rock,
3755,"Fun, Fun, Fun",The Beach Boys,15590,11,3756,693219,259,Rock,
3443,I Got You Babe,Sonny & Cher,16220,14,3444,684447,260,Rock,
1931,It's All Over Now,The Rolling Stones,19624,10,1932,673871,263,Rock,
95,La Bamba,Ritchie Valens,32878,15,96,669816,264,Rock,
4771,Pictures Of Lily,The Who,12534,6,4772,668590,265,Rock,
135,Up On Cripple Creek,The Band,31292,14,136,668220,266,Rock,
730,Friday On My Mind,The Easybeats,24050,14,731,666722,268,Rock,
1147,Evil Ways,Santana,22088,13,1148,657987,269,Rock,
